ts_us,ch2_mv,ch3_mv
4335462448,370.026,356.299
4335463938,370.026,356.299
4335465439,370.026,356.299
4335466935,370.026,356.299
4335468446,370.026,356.299
4335469937,370.026,356.299
4335471440,370.026,356.299
4335472934,370.026,356.299
4335474448,370.026,356.299
4335475935,370.026,356.299
4335477448,370.026,356.299
4335478912,370.026,356.299
4335480409,370.026,356.299
4335481857,370.026,356.299
4335483340,370.026,356.299
4335484806,370.026,356.299
4335486288,370.026,356.299
4335487732,370.026,356.299
4335489190,370.026,356.299
4335490631,370.026,356.299
4335492064,370.026,356.299
4335493520,370.026,356.299
4335494982,370.026,356.299
4335496438,370.026,356.299
4335497931,370.026,356.299
4335499412,370.026,356.299
4335500856,370.026,356.299
4335502338,370.026,356.299
4335503781,370.026,356.299
4335505263,370.026,356.299
4335506710,370.026,356.299
4335508170,370.026,356.299
4335509631,370.026,356.299
4335511088,370.026,356.299
4335512519,370.026,356.299
4335513982,370.026,356.299
4335515439,370.026,356.299
4335516932,370.026,356.299
4335518415,370.026,356.299
4335519932,370.026,356.299
4335521422,370.026,356.299
4335522931,370.026,356.299
4335524413,370.026,356.299
4335525858,370.026,356.299
4335527341,370.026,356.299
4335528781,370.026,356.299
4335530263,370.026,356.299
4335531731,370.026,356.299
4335533188,370.026,356.299
4335534632,370.026,356.299
4335536093,370.026,356.299
4335537531,370.026,356.299
4335538987,370.026,356.299
4335540443,370.026,356.299
4335541931,370.026,356.299
4335543412,370.026,356.299
4335544858,370.026,356.299
4335546338,370.026,356.299
4335547781,370.026,356.299
4335549262,370.026,356.299
4335550707,370.026,356.299
4335552164,370.026,356.299
4335553614,370.026,356.299
4335555057,370.026,356.299
4335556489,370.026,356.299
4335557945,370.026,356.299
4335559431,370.026,356.299
4335560906,370.026,356.299
4335562387,370.026,356.299
4335563831,370.026,356.299
4335565313,370.026,356.299
4335566756,370.026,356.299
4335568239,370.026,356.299
4335569688,370.026,356.299
4335571144,370.026,356.299
4335572606,370.026,356.299
4335574063,370.026,356.299
4335575494,370.026,356.299
4335576956,370.026,356.299
4335578414,370.026,356.299
4335579856,370.026,356.299
4335581338,370.026,356.299
4335582781,370.026,356.299
4335584264,370.026,356.299
4335585698,370.026,356.299
4335587157,370.026,356.299
4335588606,370.026,356.299
4335590063,370.026,356.299
4335591519,370.026,356.299
4335592956,370.026,356.299
4335594412,370.026,356.299
4335595856,370.026,356.299
4335597337,370.026,356.299
4335598781,370.026,356.299
4335600265,370.026,356.299
4335601711,370.026,356.299
4335603169,370.026,356.299
4335604606,370.026,356.299
4335606063,370.026,356.299
4335607519,370.026,356.299
4335608956,370.026,356.299
4335610412,370.026,356.299
4335611856,370.026,356.299
4335613338,370.026,356.299
4335614781,370.026,356.299
4335616263,370.026,356.299
4335617711,370.026,356.299
4335619170,370.026,356.299
4335620631,370.026,356.299
4335622063,370.026,356.299
4335623519,370.026,356.299
4335624981,370.026,356.299
4335626437,370.026,356.299
4335627932,370.026,356.299
4335629407,370.026,356.299
4335630856,370.026,356.299
4335632338,370.026,356.299
4335633786,370.026,356.299
4335635268,370.026,356.299
4335636731,370.026,356.299
4335638188,370.026,356.299
4335639631,370.026,356.299
4335641090,370.026,356.299
4335642531,370.026,356.299
4335643987,370.026,356.299
4335645443,370.026,356.299
4335646931,370.026,356.299
4335648412,370.026,356.299
4335649937,370.026,356.299
4335651405,370.026,356.299
4335652856,370.026,356.299
4335654340,370.026,356.299
4335655781,370.026,356.299
4335657263,370.026,356.299
4335658706,370.026,356.299
4335660163,370.026,356.299
4335661606,370.026,356.299
4335663038,370.026,356.299
4335664497,370.026,356.299
4335665936,370.026,356.299
4335667401,370.026,356.299
4335668831,370.026,356.299
4335670317,370.026,356.299
4335671780,370.026,356.299
4335673261,370.026,356.299
4335674706,370.026,356.299
4335676161,370.026,356.299
4335677606,370.026,356.299
4335679345,370.026,356.299
4335680807,370.026,356.299
4335682297,370.026,356.299
4335683740,370.026,356.299
4335685207,370.026,356.299
4335686655,370.026,356.299
4335688088,370.026,356.299
4335689605,370.026,356.299
4335691038,370.026,356.299
4335692496,370.026,356.299
4335693956,370.026,356.299
4335695437,370.026,356.299
4335696907,370.026,356.299
4335698388,370.026,356.299
4335699832,370.026,356.299
4335701313,370.026,356.299
